title,type,portal_title,parent_and_id_1,parent_and_id_2,parent_and_id_3,parent_and_id_4,url,begin,rs,associated_rs,wikidata,hosting,technology,api,api_list_children,dcat_ap_de,last_check
Bürgel,collectiveMunicipality,Stadt Bürgel und den zu erfüllenden Gemeinden,geoportal.de|StadtBrgelunddenzuerfllendenGemeinden,geoportal.de|StadtBrgelundderbeauftragendenGemeinden,,,,,160745051,,Q552624,,,,,,2023-08-14
Celle,municipality,Stadt Celle,geoportal.de|StadtCelle,,,,,,033510006006,,Q3933,,,,,,2023-08-11
Cham,district,Landkreis Cham,opendata.bayern|cham,,,,https://data-lra-cha.opendata.arcgis.com/,,09372,,Q10424,,ArcGIS,,,,2023-07-15
Chemnitz,municipality,Stadt Chemnitz,geoportal.de|StadtChemnitz,,,,http://portal-chemnitz.opendata.arcgis.com/,2017-03-07,145110000000,,Q2795,Amt für Informationsverarbeitung,ArcGIS,,,,2023-05-21
Chemnitz - Amt 10 - Hauptamt,municipalityAgency,Stadt Chemnitz - Amt 10 - Hauptamt,www.opendata.sachsen.de|StadtChemnitzAmt10Hauptamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 18 - Amt für Informationsverarbeitung,municipalityAgency,Stadt Chemnitz - Amt 18 - Amt für Informationsverarbeitung,www.opendata.sachsen.de|StadtChemnitzAmt18AmtfrInformationsverarbeitung,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 36 - Umweltamt,municipalityAgency,Stadt Chemnitz - Amt 36 - Umweltamt,www.opendata.sachsen.de|StadtChemnitzAmt36Umweltamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 40 - Schulamt,municipalityAgency,Stadt Chemnitz - Amt 40 - Schulamt,www.opendata.sachsen.de|StadtChemnitzAmt40Schulamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 48 - Tierpark,municipalityAgency,Stadt Chemnitz - Amt 48 - Tierpark,www.opendata.sachsen.de|StadtChemnitzAmt48Tierpark,,,,,,,145110000000,Q1577839,,,,,,2023-05-21
Chemnitz - Amt 51 - Jugendamt,municipalityAgency,Stadt Chemnitz - Amt 51 - Jugendamt,www.opendata.sachsen.de|StadtChemnitzAmt51Jugendamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 61 - Stadtplanungsamt,municipalityAgency,Stadt Chemnitz - Amt 61 - Stadtplanungsamt,www.opendata.sachsen.de|StadtChemnitzAmt61Stadtplanungsamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 62 - Städtisches Vermessungsamt,municipalityAgency,Stadt Chemnitz - Amt 62 - Städtisches Vermessungsamt,www.opendata.sachsen.de|StadtChemnitzAmt62StdtischesVermessungsamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 66 - Tiefbauamt,municipalityAgency,Stadt Chemnitz - Amt 66 - Tiefbauamt,www.opendata.sachsen.de|StadtChemnitzAmt66Tiefbauamt,,,,,,,145110000000,,,,,,,2023-05-21
Chemnitz - Amt 67 - Grünflächenamt,municipalityAgency,Stadt Chemnitz - Amt 67 - Grünflächenamt,www.opendata.sachsen.de|StadtChemnitzAmt67Grnflchenamt,,,,,,,145110000000,,,,,,,2023-05-21
Cochem,collectiveMunicipality,Verbandsgemeinde Cochem,daten.rlp.de|verbandsgemeinde_cochem,,,,https://daten.rlp.de/organization/verbandsgemeinde_cochem,,071355001,,Q511057,,,,,,2023-05-14
Darmstadt-Dieburg,district,Landkreis Darmstadt-Dieburg,geoportal.de|LandkreisDarmstadtDieburg,,,,,,06432,,06432,,,,,,2023-07-28
Dedenbach,municipality,Ortsgemeinde Dedenbach,daten.rlp.de|ortsgemeinde_dedenbach,,,,https://daten.rlp.de/organization/og_dedenbach,,071315004016,,Q569741,,,,,,2023-05-21
Delbrück,municipality,Stadt Delbrück,geoportal.de|StadtDelbrck,,,,,,057740020020,,Q16146,,,,,,2023-08-13
Deutsche Nationalbibliothek,other,Deutsche Nationalbibliothek,http://dcat-ap.de/def/contributors/deutscheNationalbibliothek,,,,,,,,Q27302,,,,,,
Deutsche Rentenversicherung Bund,federalCooperation,Deutsche Rentenversicherung Bund,http://dcat-ap.de/def/contributors/deutscheRentenversicherungBund,,,,,,,,Q1203782,,,,,,2023-05-21
Deutscher Wetterdienst,federalAgency,Deutscher Wetterdienst,mcloud.de|DeutscherWetterdienst,geoportal.de|DeutscherWetterdienstDWD,geoportal.de|DeutscherWetterdienstDeutscherWetterdienst,,https://opendata.dwd.de/,,,,Q325859,,Website,,,,2023-08-16
Deutsches Patent- und Markenamt,federalAgency,Deutsches Patent- und Markenamt,http://dcat-ap.de/def/contributors/deutschesPatentUndMarkenamt,,,,,,,,Q314296,,,,,,
Deutsches Zentrum für Schienenverkehrsforschung,federalAgency,Deutsches Zentrum für Schienenverkehrsforschung beim Eisenbahn-Bundesamt,geoportal.de|DeutschesZentrumfrSchienenverkehrsforschungbeimEisenbahnBundesamt,,,,,,,,Q64485073,,,,,,2023-08-17
Die Senatorin für Kinder und Bildung,stateAgency,Freie Hansestadt Bremen， Die Senatorin für Kinder und Bildung,geoportal.de|FreieHansestadtBremenDieSenatorinfrKinderundBildung,,,,,,,04,Q61874530,,,,,,2023-08-15
Die Senatorin für Umwelt， Klima und Wissenschaft,stateAgency,Freie Hansestadt Bremen， Die Senatorin für Umwelt， Klima und Wissenschaft,geoportal.de|FreieHansestadtBremenDieSenatorinfrUmweltKlimaundWissenschaft,,,,,,,04,,,,,,,2023-08-15
Diepholz,district,Landkreis Diepholz,geoportal.de|LandkreisDiepholz,mcloud.de|GovDataLandkreisDiepholz,,,https://daten.diepholz.de/,,03251,,Q5956,,DKAN,,,,2023-07-15
Dierdorf,collectiveMunicipality,Verbandsgemeinde Dierdorf,daten.rlp.de|verbandsgemeinde_dierdorf,,,,https://daten.rlp.de/organization/verbandsgemeinde_dierdorf,,071385003,,Q537915,,,,,,2023-05-21
Dietzenbach,municipality,Kreisstadt Dietzenbach,geoportal.de|KreisstadtDietzenbach,,,,,,064380001001,,Q16033,,,,,,2023-08-17
Dingelstädt,municipality,Stadt Dingelstädt,geoportal.de|StadtDingelstdt,,,,,,160610118118,,Q530075,,,,,,2023-08-13
Dolmar-Salzbrücke,collectiveMunicipality,Verwaltungsgemeinschaft Dolmar-Salzbrücke,geoportal.de|VerwaltungsgemeinschaftDolmarSalzbrcke,,,,,,160665014,,Q732402,,,,,,2023-09-19
Dormagen,municipality,Dormagen,open.nrw|dormagen,mcloud.de|OpenNRWDormagen,opendata.rhein-kreis-neuss.de|StadtDormagen,,https://opendata.dormagen.de,2017-12-07,051620004004,,Q3978,OpenDataSoft,OpenDataSoft,https://opendata.dormagen.de/api/v2/catalog/datasets,https://dormagen.opendatasoft.com/api/explore/v2.1/catalog/facets,,2023-09-09
Dornburg-Camburg,collectiveMunicipality,Verwaltungsgemeinschaft Dornburg-Camburg,geoportal.de|VerwaltungsgemeinschaftDornburgCamburg,,,,,,160745015,,Q879514,,,,,,2023-09-19
Dortmund,municipality,Dortmund,open.nrw|dortmund,opendata.ruhr|dortmund,,,https://opendata.dortmund.de/,2018-08-23,059130000000,,Q1295,,DUVA,,,,2023-08-29
Dresden,municipality,Stadt Dresden,www.opendata.sachsen.de|StadtDresden,geoportal.de|LandeshauptstadtDresden,mcloud.de|GovDataLandeshauptstadtDresden,,https://opendata.dresden.de,,146120000000,,Q1731,,DUVA,,,,2023-05-21
Drolshagen,municipality,Stadt Drolshagen,geoportal.de|StadtDrolshagen,,,,,,059660008008,,Q10890,,,,,,2023-08-13
Duisburg,municipality,Duisburg,open.nrw|duisburg,opendata.ruhr|duisburg,geoportal.de|StadtDuisburg,mcloud.de|OpenNRWDuisburg,https://opendata-duisburg.de/,2019-03-19,051120000000,,Q2100,Stadt Köln,DKAN,https://opendata-duisburg.de/api/3/action/package_list,https://opendata-duisburg.de/api/3/action/group_list,https://opendata-duisburg.de/catalog.xml,2023-05-21
Dülmen,municipality,Stadt Dülmen,geoportal.de|StadtDlmen,,,,https://www.o-sp.de/duelmen/opendata.php,,055580016016,,Q6910,,,,,,2023-05-21
Düsseldorf,municipality,Düsseldorf,open.nrw|duesseldorf,,,,https://opendata.duesseldorf.de/,2017-12-06,051110000000,,Q1718,Stadt Köln,DKAN,https://opendata.duesseldorf.de/api/3/action/package_list,https://opendata.duesseldorf.de/api/3/action/group_list,https://opendata.duesseldorf.de/catalog.xml,2023-05-14
Ebeleben,collectiveMunicipality,Stadt Ebeleben und der beauftragenden Gemeinden,geoportal.de|StadtEbelebenundderbeauftragendenGemeinden,,,,,,160655052,,Q541705,,,,,,2023-08-14
Edewecht,municipality,Gemeinde Edewecht,geoportal.de|GemeindeEdewecht,,,,,,034510004004,,Q503410,,,,,,2023-08-11
Eich,collectiveMunicipality,Verbandsgemeinde Eich,daten.rlp.de|verbandsgemeinde_eich,,,,https://daten.rlp.de/organization/verbandsgemeinde_eich,,073315002,,Q251357,,,,,,2023-05-21
Eichsfeld,district,Landratsamt Eichsfeld,geoportal.de|LandratsamtEichsfeld,,,,,,16061,,Q7861,,,,,,2023-07-26
Eisenbahn-Bundesamt,federalAgency,Eisenbahn-Bundesamt,mcloud.de|EisenbahnBundesamt,geoportal.de|EisenbahnBundesamtEBA,,,,,,,Q261760,,,,,,2023-08-12
Eisenberg,collectiveMunicipality,Stadt Eisenberg und den zu erfüllenden Gemeinden,geoportal.de|StadtEisenbergunddenzuerfllendenGemeinden,,,,,,160745052,,Q486568,,,,,,2023-08-14
Eisfeld,municipality,Stadt Eisfeld,geoportal.de|StadtEisfeld,,,,,,160690012012,,Q486795,,,,,,2023-08-13
Ellrich,municipality,Stadt Ellrich,geoportal.de|StadtEllrich,,,,,,160620005005,,Q518240,,,,,,2023-08-13
Elmshorn,municipality,Stadt Elmshorn,opendata.schleswig-holstein.de|elmshorn,geoportal.de|StadtElmshorn,mcloud.de|OpenDataSchleswigHolsteinStadtElmshorn,,,,010560015015,,Q6845,,,,,,2023-08-11
Elmshorn-Land,collectiveMunicipality,Amt Elmshorn-Land,geoportal.de|AmtElmshornLand,opendata.schleswig-holstein.de|amt-elmshorn-land,,,,,010565616,,Q479195,,,,,,2023-09-09
Elsdorf,municipality,Elsdorf (Rheinland),offenedaten.kdvz-frechen.de|elsdorf,geoportal.de|StadtElsdorf,offenedaten.kdvz.nrw|elsdorf,,http://offenedaten.kdvz-frechen.de/group/elsdorf,2016-11-08,053620016016,,Q4615,Stadt Köln,DKAN,,,,2023-08-27
Elxleben,collectiveMunicipality,Gemeinde Elxleben und der beauftragenden Gemeinden,geoportal.de|GemeindeElxlebenundderbeauftragendenGemeinden,,,,,,160685050,,Q635708,,,,,,2023-08-14
Emmelshausen,collectiveMunicipality,Verbandsgemeide Emmelshausen,daten.rlp.de|verbandsgemeinde_emmelshausen,,,,https://daten.rlp.de/organization/verbandsgemeinde_emmelshausen,,071405009036,,Q539565,,,,,,2023-05-23
Emmerich am Rhein,municipality,Stadt Emmerich am Rhein,geoportal.de|StadtEmmerichamRhein,,,,,,051540008008,,Q57006,,,,,,2023-08-13
Enkenbach-Alsenborn,collectiveMunicipality,Verbandsgemeinde Enkenbach-Alsenborn,daten.rlp.de|verbandsgemeinde_enkenbach_alsenborn,,,,,,073355002,,Q17326767,,,,,,2023-07-19
Ennepe-Ruhr-Kreis,district,Ennepe-Ruhr-Kreis,geoportal.de|EnnepeRuhrKreis,,,,,,05954,,Q11280,,,,,,2023-07-26
Ennigerloh,municipality,Stadt Ennigerloh,geoportal.de|StadtEnnigerloh,,,,https://www.o-sp.de/ennigerloh/opendata.php,,055700020020,,Q2760,,,,,,2023-05-23
Eppertshausen,municipality,Gemeinde Eppertshausen,geoportal.de|GemeindeEppertshausen,,,,,,064320005005,,Q631184,,,,,,2023-09-09
Erden,municipality,Ortsgemeinde Erden,daten.rlp.de|ortsgemeinde_erden,,,,,,072315001030,,Q565749,,,,,,2023-07-19
Erftstadt,municipality,Stadt Erftstadt,geoportal.de|StadtErftstadt,,,,https://www.o-sp.de/erftstadt/opendata.php,,053620020020,,Q4195,,,,,,2023-05-23
Erfurt,municipality,Stadtverwaltung Erfurt,geoportal.de|StadtverwaltungErfurt,,,,,,160510000000,,Q1729,,,,,,2023-08-11
Erzenhausen,municipality,Ortsgemeinde Erzenhausen,daten.rlp.de|ortsgemeinde_erzenhausen,,,,https://daten.rlp.de/organization/ortsgemeinde_erzenhausen,,073355009005,,Q567597,,,,,,2023-05-23
Erzgebirgskreis,district,Landratsamt Erzgebirgskreis,geoportal.de|LandratsamtErzgebirgskreis,,,,,,14521,,Q6339,,,,,,2023-07-27
Eschweiler,municipality,Stadt Eschweiler,offenedaten.aachen.de|stadt-eschweiler,,,,,,053340012012,,Q4083,,,,,,2023-08-13
Esri Deutschland GmbH,other,Esri Deutschland Open Data Portal,mcloud.de|EsriDeutschlandGmbH,,,,https://opendata-esri-de.opendata.arcgis.com/,,,,Q1045778,,Website,,,,2023-07-15
Essen,municipality,Essen,open.nrw|essen,opendata.ruhr|essen,,,https://opendata.essen.de/,,051130000000,,Q2066,Stadt Köln,DKAN,https://opendata.essen.de/api/3/action/package_list,https://opendata.essen.de/api/3/action/group_list,https://opendata.essen.de/catalog.xml,2023-08-19
Eulenbis,municipality,Ortsgemeinde Eulenbis,daten.rlp.de|ortsgemeinde_eulenbis,,,,https://daten.rlp.de/organization/ortsgemeinde_eulenbis,,073355009006,,Q285275,,,,,,2023-05-23
Euskirchen,district,Kreis Euskirchen,offenedaten.kdvz-frechen.de|kreis-euskirchen,offenedaten.kdvz.nrw|kreis-euskirchen,,,http://offenedaten.kdvz-frechen.de/group/kreis-euskirchen,2016-11-08,05366,,Q6280,Stadt Köln,DKAN,,,,2023-08-27
Everswinkel,municipality,Gemeinde Everswinkel,geoportal.de|GemeindeEverswinkel,,,,https://www.o-sp.de/everswinkel/opendata,,055700024024,,Q2809,,,,,,2023-05-23
Fahner Höhe,collectiveMunicipality,Verwaltungsgemeinschaft Fahner Höhe,geoportal.de|VerwaltungsgemeinschaftFahnerHhe,,,,,,160675012,,Q316277,,,,,,2023-09-19
Feldstein,collectiveMunicipality,Verwaltungsgemeinschaft Feldstein,geoportal.de|VerwaltungsgemeinschaftFeldstein,,,,,,160695002,,Q879863,,,,,,2023-09-19
Finanzministerium des Landes Schleswig-Holstein,stateAgency,Finanzministerium,opendata.schleswig-holstein.de|finanzministerium,,,,,,,01,Q16831368,,,,,,2023-07-17
Flensburg,municipality,Stadt Flensburg,geoportal.de|StadtFlensburg,opendata.schleswig-holstein.de|flensburg,,,,,010010000000,,Q3798,,,,,,2023-09-09
Frankelbach,municipality,Ortsgemeinde Frankelbach,daten.rlp.de|ortsgemeinde_frankelbach,,,,,,073355010009,,Q566972,,,,,,2023-07-19
Frankenblick,municipality,Gemeinde Frankenblick,geoportal.de|GemeindeFrankenblick,,,,,,160720023023,,Q507639,,,,,,2023-09-09
Frankfurt (Oder),municipality,Stadt Frankfurt (Oder),geoportal.de|StadtFrankfurtOder,,,,,,120530000000,,Q4024,,,,,,2023-08-13
Frankfurt (Oder)， Kataster- und Vermessungsamt,municipalityAgency,Stadt Frankfurt (Oder)， Kataster- und Vermessungsamt,geoportal.de|StadtFrankfurtOderKatasterundVermessungsamt,,,,,,,120530000000,,,,,,,2023-08-11
Frankfurt am Main,municipality,Stadt Frankfurt am Main,http://dcat-ap.de/def/contributors/stadtFrankfurtAmMain,,,,http://offenedaten.frankfurt.de/,2014-10-15,064120000000,,Q1794,,CKAN,http://offenedaten.frankfurt.de/api/3/action/package_list,http://offenedaten.frankfurt.de/api/3/action/organization_list,,2019-08-04
Freiburg im Breisgau,municipality,Stadt Freiburg im Breisgau,http://dcat-ap.de/def/contributors/stadtFreiburgImBreisgau,www.daten-bw.de|stadt-freiburg-im-breisgau,,,http://opendata.freiburg.de,2017-04-01,083110000000,,Q2833,badenIT GmbH,Website,https://fritz.freiburg.de/duva2ckan/files/,,,2023-08-10
Friedrich-Loeffler-Institut,federalAgency,Friedrich-Loeffler-Institut,http://dcat-ap.de/def/contributors/friedrichLoefflerInstitut,,,,,,,,Q1457808,,,,,,
Föderale IT-Kooperation,federalCooperation,FITKO (Föderale IT-Kooperation),http://dcat-ap.de/def/contributors/fitko,,,,,,,,Q104760828,,,,,,2023-05-21
Föritztal,municipality,Gemeinde Föritztal,geoportal.de|GemeindeFritztal,,,,,,160720024024,,Q48781201,,,,,,2023-09-09
Fürstenau,collectiveMunicipality,Samtgemeinde Fürstenau,geoportal.de|SamtgemeindeFrstenau,,,,,,034595403,,Q314976,,,,,,2023-07-28
Galenberg,municipality,Ortsgemeinde Galenberg,daten.rlp.de|ortsgemeinde_galenberg,,,,https://daten.rlp.de/organization/ortsgemeinde_galenberg,,071315004204,,Q644473,,,,,,2023-05-23
GDI-DE,federalCooperation,Geodateninfrastruktur Deutschland,http://dcat-ap.de/def/contributors/gdiDE,data.europa.eu|gdi-de,,,https://www.gdi-de.org/,,,,Q1502855,Bundesamt für Kartographie und Geodäsie,,,https://geoportal.de,,2023-04-18
GDI-Saarland,stateAgency,GDI-Saarland,geoportal.de|GDISaarland,,,,,,,10,,,,,,,2023-10-12
Geldern,municipality,Stadt Geldern,www.offenesdatenportal.de|stadt-geldern,geoportal.de|StadtGeldern,,,https://www.offenesdatenportal.de/organization/stadt-geldern,,051540012012,,Q16024,,,,,,2023-05-23
Gelsenkirchen,municipality,Stadt Gelsenkirchen,open.nrw|gelsenkirchen,opendata.ruhr|gelsenkirchen,geoportal.de|StadtGelsenkirchen,mcloud.de|GovDataStadtGelsenkirchen,https://opendata.gelsenkirchen.de/,2017-05-23,055130000000,,Q2765,gkd-el,DKAN,https://opendata.gelsenkirchen.de/api/3/action/package_list,https://opendata.gelsenkirchen.de/api/3/action/group_list,,2023-08-19
Generaldirektion Kulturelles Erbe Rheinland-Pfalz,stateAgency,Generaldirektion Kulturelles Erbe,daten.rlp.de|generaldirektion_kulturelles_erbe,,,,,,,07,Q1501748,,,,,,2023-07-18
Generalzolldirektion,federalAgency,Generalzolldirektion,http://dcat-ap.de/def/contributors/generalzolldirektion,,,,,,,,Q18287062,,,,,,
Geoportal Baden-Württemberg,stateAgency,Geoportal Baden-Württemberg,www.daten-bw.de|geoportal-baden-wurttemberg,,,,https://www.geoportal-bw.de/,,,08,,,,,,,2023-08-10
Geoportal Bayern,stateAgency,Geoportal Bayern,opendata.bayern|geoportalbayern,,,,,,,09,,,,,,,2023-07-24
Geoportal Ruhr,regionalNetwork,Geoportal Ruhr,opendata.ruhr|geoportal-ruhr,,,,,,,,,,,,,,2023-05-14
GEOportal.NRW,stateAgency,Geoportal,open.nrw|geoportal,,,,,,,05,,,,,,,2023-05-14
Georgenthal,collectiveMunicipality,Landgemeinde Georgenthal und der beauftragenden Gemeinden,geoportal.de|LandgemeindeGeorgenthalundderbeauftragendenGemeinden,,,,,,160675054,,Q567994,,,,,,2023-08-14
Georgsmarienhütte,municipality,Stadt Georgsmarienhütte,geoportal.de|StadtGeorgsmarienhtte,,,,,,034590019019,,Q16078,,,,,,2023-08-13
Gera,municipality,Stadtverwaltung Gera,geoportal.de|StadtverwaltungGera,,,,,,160520000000,,Q3750,,,,,,2023-09-09
Gera-Aue,collectiveMunicipality,Verwaltungsgemeinschaft Gera-Aue,geoportal.de|VerwaltungsgemeinschaftGeraAue,,,,,,160685002,,Q879769,,,,,,2023-09-19
Geratal,municipality,Landgemeinde Geratal,geoportal.de|LandgemeindeGeratal,,,,,,160700057057,,Q59775086,,,,,,2023-09-09
Geratal/Plaue,collectiveMunicipality,Verwaltungsgemeinschaft Geratal/Plaue,geoportal.de|VerwaltungsgemeinschaftGeratalPlaue,,,,,,160705002,,Q879468,,,,,,2023-09-19
Gerolstein,collectiveMunicipality,Verbandsgemeinde Gerolstein,daten.rlp.de|verbandsgemeinde_gerolstein,daten.rlp.de|vg_gerolstein,,,https://daten.rlp.de/organization/verbandsgemeinde_gerolstein,,072335006,,Q52404118,,,,,,2023-07-19
Gevelsberg,municipality,Gevelsberg,opendata.ruhr|gevelsberg,,,,,,059540012012,,Q11331,,,,,,2023-08-16
Gladbeck,municipality,Stadt Gladbeck,geoportal.de|StadtGladbeck,,,,,,055620014014,,Q3905,,,,,,2023-08-13
Glees,municipality,Ortsgemeinde Glees,daten.rlp.de|ortsgemeinde_glees,,,,https://daten.rlp.de/organization/ortsgemeinde_glees,,071315004205,,Q644241,,,,,,2023-05-23
Glinde,municipality,Stadt Glinde,geoportal.de|StadtGlinde,opendata.schleswig-holstein.de|glinde,,,,,010620018018,,Q569696,,,,,,2023-09-09
Glückstadt,municipality,Glückstadt,opendata.schleswig-holstein.de|glueckstadt,,,,https://opendata.schleswig-holstein.de/organization/glueckstadt,,010610029029,,Q377277,,,,,,2023-05-08
Goch,municipality,Stadt Goch,www.offenesdatenportal.de|stadt-goch,geoportal.de|StadtGoch,,,https://www.offenesdatenportal.de/organization/stadt-goch,,051540016016,,Q16006,,,,,,2023-05-23
Gornhausen,municipality,Ortsgemeinde Gornhausen,daten.rlp.de|ortsgemeinde_gornhausen,,,,,,072315001040,,Q646731,,,,,,2023-07-19
Gotha,district,Landratsamt Gotha,geoportal.de|LandratsamtGotha,geoportal.de|LandkreisGotha,,,,,16067,,Q7869,,,,,,2023-07-27
Gotha,municipality,Stadt Gotha,geoportal.de|StadtGotha,,,,,,160670029029,,Q6986,,,,,,2023-08-13
GovData - Sonstige,portal,Sonstige,http://dcat-ap.de/def/contributors/govData,,,,,,,,,,,,,,2023-05-21
Graach an der Mosel,municipality,Ortsgemeinde Graach an der Mosel,daten.rlp.de|ortsgemeinde_graach_an_der_mosel,,,,,,072315001041,,Q648808,,,,,,2023-07-19
Grabfeld,municipality,Gemeinde Grabfeld,geoportal.de|GemeindeGrabfeld,,,,,,160660094094,,Q532678,,,,,,2023-09-09
Grafschaft,municipality,Gemeinde Grafschaft,daten.rlp.de|gemeinde_grafschaft,,,,https://daten.rlp.de/organization/gemeinde_grafschaft,,071310090090,,Q683790,,,,,,2023-05-23
Grafschaft Bentheim,district,Landkreis Grafschaft Bentheim,geoportal.de|LandkreisGrafschaftBentheim,,,,,,03456,,Q5939,,,,,,2023-07-28
Grafschaft Hoya,collectiveMunicipality,Samtgemeinde Grafschaft Hoya,geoportal.de|SamtgemeindeGrafschaftHoya,,,,,,032565409,,Q486777,,,,,,2023-07-28
Gramme-Vippach,collectiveMunicipality,Verwaltungsgemeinschaft Gramme-Vippach,geoportal.de|VerwaltungsgemeinschaftGrammeVippach,,,,,,160685012,,Q67583303,,,,,,2023-09-19
Grammetal,municipality,Landgemeinde Grammetal,geoportal.de|LandgemeindeGrammetal,,,,,,160710103103,,Q71129775,,,,,,2023-09-09
Greiz,district,Kreis Greiz,geoportal.de|LandkreisGreiz,geoportal.de|LandratsamtGreiz,,,,,16076,,Q7887,,,,,,2023-07-15
Greiz,municipality,Stadt Greiz,geoportal.de|StadtGreiz,geoportal.de|StadtverwaltungGreiz,,,,,160760022022,,Q502710,,,,,,2023-09-09
Greußen,municipality,Landgemeinde Greußen,geoportal.de|LandgemeindeGreuen,,,,,,160650089089,,Q552683,,,,,,2023-09-09
Greußen,collectiveMunicipality,Verwaltungsgemeinschaft Greußen,geoportal.de|VerwaltungsgemeinschaftGreuen,,,,,,160655002,,Q879784,,,,,,2023-09-19
Greven,municipality,Stadt Greven,geoportal.de|StadtGreven,,,,,,055660012012,,Q14917,,,,,,2023-08-17
Grevenbroich,municipality,Stadt Grevenbroich,geoportal.de|StadtGrevenbroich,,,,https://www.o-sp.de/grevenbroich/opendata.php,,051620008008,,Q3973,,,,,,2023-05-23
Gronau,municipality,Stadt Gronau,geoportal.de|StadtGronau,,,,,,055540020020,,Q6924,,,,,,2023-08-17
Groß-Gerau,district,Kreis Groß-Gerau,geoportal.de|KreisGroGerau,,,,,,06433,,Q7914,,,,,,2023-07-26
Großbreitenbach,municipality,Landgemeinde Großbreitenbach,geoportal.de|LandgemeindeGrobreitenbach,,,,,,160700058058,,Q32510020,,,,,,2023-08-11
Görlitz,district,Landratsamt Görlitz,geoportal.de|LandratsamtGrlitz,,,,,,14626,,Q6317,,,,,,2023-07-27
Görlitz - Untere Naturschutzbehörde,districtAgency,Landratsamt Görlitz Untere Naturschutzbehörde,www.opendata.sachsen.de|LandratsamtGrlitzUntereNaturschutzbehrde,,,,,,,14626,,,,,,,2023-07-27
Göttingen,district,Landkreis Göttingen,geoportal.de|LandkreisGttingen,,,,,,03159,,Q6022,,,,,,2023-07-26
Gütersloh,district,Kreis Gütersloh,geoportal.de|KreisGtersloh,,,,,,05754,,Q6218,,,,,,2023-07-15
Gütersloh,municipality,Stadt Gütersloh,geoportal.de|StadtGtersloh,,,,,,057540008008,,Q3771,,,,,,2023-08-13
Haan,municipality,Stadt Haan,geoportal.de|StadtHaan,,,,,,051580008008,,Q2974,,,,,,2023-05-23
Haddeby,collectiveMunicipality,Amt Haddeby,opendata.schleswig-holstein.de|amt-haddeby,geoportal.de|AmtHaddeby,,,,,010595915,,Q457404,,,,,,2023-09-09
Hagen,municipality,Stadt Hagen,opendata.ruhr|hagen,geoportal.de|StadtHagen,,,https://opendata.ruhr/organization/hagen,,059140000000,,Q2871,,,,,,2023-05-23
Hainich-Werratal,collectiveMunicipality,VG Hainich-Werratal,geoportal.de|VGHainichWerratal,,,,,,160635006,,Q879796,,,,,,2023-09-19
Halle (Saale),municipality,Land Sachsen-Anhalt (Kommune) Kreisfreie Stadt Halle (Saale),geoportal.de|LandSachsenAnhaltKommuneKreisfreieStadtHalleSaale,,,,http://opendata.halle.de,,150020000000,,Q2814,,Website,,,,2023-05-23
Hamburg,state,Hamburg,http://dcat-ap.de/def/contributors/transparenzportalHamburg,,,,http://daten.hamburg.de/,2014-10-06,02,,Q1055,Staatsarchiv Hamburg,CKAN,http://suche.transparenz.hamburg.de/api/3/action/package_list,https://suche.transparenz.hamburg.de/api/3/action/organization_list,http://suche.transparenz.hamburg.de/catalog.xml,2023-02-05
Hamburg,municipality,StadtHamburg,suche.transparenz.hamburg.de|stadthamburg,,,,,,,,,,CKAN,,,,2023-04-11
Hameln,municipality,Stadt Hameln,geoportal.de|StadtHameln,,,,,,032520006006,,Q4062,,,,,,2023-08-11
Hamm,collectiveMunicipality,Verbandsgemeinde Hamm,daten.rlp.de|verbandsgemeinde_hamm,,,,https://daten.rlp.de/organization/verbandsgemeinde_hamm,,071325006,,Q561426,,,,,,2023-05-23
Hamm,municipality,Hamm,opendata.ruhr|hamm,geoportal.de|StadtHamm,,,,,059150000000,,Q2880,,,,,,2023-08-16
Hanau,municipality,Stadt Hanau,geoportal.de|StadtHanau,,,,,,064350014014,,Q3802,,,,,,2023-08-13
Hanstein-Rusteberg,collectiveMunicipality,Verwaltungsgemeinschaft Hanstein-Rusteberg,geoportal.de|VerwaltungsgemeinschaftHansteinRusteberg,,,,,,160615008,,Q459685,,,,,,2023-09-19
Haren (Ems),municipality,Stadt Haren (Ems),geoportal.de|StadtHarenEms,,,,,,034540018018,,Q529185,,,,,,2023-07-24
Harsewinkel,municipality,Stadt Harsewinkel,geoportal.de|StadtHarsewinkel,,,,https://www.o-sp.de/harsewinkel/opendata.php,,057540016016,,Q225729,,,,,,2023-05-23
Harth-Pöllnitz,municipality,Gemeinde Harth-Pöllnitz,geoportal.de|GemeindeHarthPllnitz,,,,,,160760088088,,Q534766,,,,,,2023-09-09
Harztor,municipality,Gemeinde Harztor,geoportal.de|GemeindeHarztor,,,,,,160620065065,,Q507625,,,,,,2023-09-09
Hasbergen,municipality,Gemeinde Hasbergen,geoportal.de|GemeindeHasbergen,,,,,,034590021021,,Q685358,,,,,,2023-08-11
